School ID,School Name,2016 College Enrollment Rate,Latitude,Longitude
609738,LINCOLN PARK HS,80.0,41.91826831,-87.64600936
609679,PROSSER HS,67.4,41.9200594,-87.76104832
609716,KELVYN PARK HS,31.7,41.9279184,-87.73599882
609732,STEINMETZ HS,48.6,41.93563359,-87.78351523
610524,ALCOTT HS,64.7,41.93579456,-87.68056201
400013,ASPIRA - EARLY COLLEGE HS,55.3,41.93729829,-87.72709566
400125,YCCS - ASPIRA PANTOJA,15.7,41.9381866,-87.72713736
610568,PATHWAYS - AVONDALE HS,21.3,41.93943321,-87.70520632
609708,FOREMAN HS,43.7,41.93979677,-87.75416654
610402,DEVRY HS,79.4,41.94138764,-87.69076139
610340,CHICAGO ACADEMY HS,71.6,41.94305449,-87.77684657
609729,SCHURZ HS,47.1,41.94636454,-87.73561211
609720,LANE TECH HS,86.9,41.94664458,-87.69101263
609719,LAKE VIEW HS,65.6,41.95476407,-87.66895269
609766,VAUGHN HS,7.7,41.9603638,-87.76466317
609728,ROOSEVELT HS,58.2,41.96482788,-87.71481862
400141,YCCS - TRUMAN,34.7,41.96529482,-87.65923929
610394,UPLIFT HS,69.4,41.96554746,-87.65247335
609737,VON STEUBEN HS,80.6,41.97318505,-87.71338625
609695,AMUNDSEN HS,64.0,41.97506726,-87.67948421
609749,NORTHSIDE PREP HS,92.0,41.98131528,-87.7087078
609734,TAFT HS,66.4,41.98296099,-87.79154725
609744,NORTHSIDE LEARNING HS,0.0,41.98297252,-87.72238622
609724,MATHER HS,65.2,41.98758868,-87.7024964
610390,RICKOVER MILITARY HS,62.6,41.98902071,-87.66578851
609730,SENN HS,71.6,41.98902854,-87.66713619
400034,CICS - NORTHTOWN HS,75.0,41.99024501,-87.72650426
609733,SULLIVAN HS,58.0,42.00268756,-87.66919215
400035,CHICAGO MATH & SCIENCE HS,71.8,42.01303149,-87.67481842
610569,OMBUDSMAN - NORTHWEST HS,18.8,42.01717124,-87.80668177
